Classifier,Train Score,Test Score,F1 Score,Accuracy Score,Precision Scores,Recall Scores,Variance
Stacking Classifier,0.9841666666666666,0.965,0.9642478499792674,0.9642478499792674,0.9642478499792674,0.9642478499792674,0.019166666666666665
Logistic Regression,0.9725,0.95,0.9491646800730581,0.9491646800730581,0.9491646800730581,0.9491646800730581,0.022500000000000075
SVC,0.98625,0.9483333333333334,0.9482006484210918,0.9482006484210918,0.9482006484210918,0.9482006484210918,0.0379166666666666
KNN Classifier,0.9175,0.8983333333333333,0.8959448228986586,0.8959448228986586,0.8959448228986586,0.8959448228986586,0.019166666666666665
XGBoost Classifier,0.88125,0.8766666666666667,0.8735920659759732,0.8735920659759732,0.8735920659759732,0.8735920659759732,0.004583333333333273
Decision Tree Classifier,0.8504166666666667,0.8633333333333333,0.8550578854600538,0.8550578854600538,0.8550578854600538,0.8550578854600538,0.012916666666666576
Adaboost Classifier,0.8995833333333333,0.8483333333333334,0.8419498251839392,0.8419498251839392,0.8419498251839392,0.8419498251839392,0.05124999999999991
Random Forest Classifier,0.82125,0.8416666666666667,0.83231513165245,0.83231513165245,0.83231513165245,0.83231513165245,0.02041666666666664
Gaussian Naive Bayes,0.8025,0.795,0.8009695373777316,0.8009695373777316,0.8009695373777316,0.8009695373777316,0.007499999999999951
